"","","N"
"pshuffle_at_avg",0.262062943795326,3460
"pshuffle_at_avg_ffe",0.15626616887212,3460
"pshuffle_at_avg_fyfe",0.193378207842428,3460
"pshuffle_gr1",0.0812883824404926,3460
